pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,rowupdate,pl_facility
MOA-2015-BLG-337L,MOA-2015-BLG-337L b,Microlensing,1,,0.24,,,0.10603,,,18h07m47.69s,271.9487,-28d10m13.0s,-28.170279,7100,,0.01,,11/8/18,MOA
MOA-2016-BLG-227L,MOA-2016-BLG-227L b,Microlensing,1,,1.67,,,2.8,,,18h05m53.70s,271.473755,-27d42m51.4s,-27.714287,6500,,0.29,,5/18/17,MOA
MOA-2016-BLG-319L,MOA-2016-BLG-319L b,Microlensing,1,,0.95,,,0.62,,,17h54m58.13s,268.742218,-29d45m01.7s,-29.750463,6800,,0.15,,11/29/18,MOA
MOA-bin-1L,MOA-bin-1L b,Microlensing,1,,8.3,,,3.7,,,17h27m10.20s,261.7925,-29d47m38.3s,-29.793972,5100,,0.75,,5/14/14,MOA
MXB 1658-298,MXB 1658-298 b,Eclipse Timing Variations,1,760,1.613,,,23.7,,,17h02m06.54s,255.527252,-29d56m44.1s,-29.945583,,,1.98,,7/27/17,Multiple Observatories
NGC 2682 Sand 364,NGC 2682 Sand 364 b,Radial Velocity,1,121.71,0.53,0.35,,6.69,,,08h49m56.82s,132.48676,+11d41m32.9s,11.692484,837.03,4284,9.06,39.59,9/6/18,Multiple Observatories
NGC 2682 Sand 978,NGC 2682 Sand 978 b,Radial Velocity,1,511.21,,0.16,,2.18,,,08h51m17.48s,132.82283,+11d45m22.7s,11.756299,842.01,4200,1.37,,3/30/17,Multiple Observatories
NGC 2682 YBP 1194,NGC 2682 YBP 1194 b,Radial Velocity,1,6.959,,0.3,,0.32,,,08h51m00.81s,132.753364,+11d48m52.8s,11.814655,895.73,5780,1.01,,7/7/16,Multiple Observatories
NGC 2682 YBP 1514,NGC 2682 YBP 1514 b,Radial Velocity,1,5.118,,0.28,,0.4,,,08h51m00.77s,132.753193,+11d53m11.5s,11.88653,939.38,5725,0.96,,7/7/16,Multiple Observatories
NGC 2682 YBP 401,NGC 2682 YBP 401 b,Radial Velocity,1,4.087,,0.15,,0.46,,,08h51m19.05s,132.82936,+11d40m15.7s,11.67102,851.36,6165,1.14,,7/7/16,La Silla Observatory
NGTS-1,NGTS-1 b,Transit,1,2.647298,0.0326,0.016,85.27,0.812,1.33,0.42,05h30m51.45s,82.714378,-36d37m50.8s,-36.630787,224,3916,0.62,0.57,11/9/17,Paranal Observatory
NGTS-2,NGTS-2 b,Transit,1,4.511164,0.063,0,88.5,0.74,1.595,0.226,14h20m29.49s,215.122879,-31d12m07.5s,-31.20207,360.3,6478,1.64,1.7,10/4/18,Paranal Observatory
NGTS-3 A,NGTS-3 A b,Transit,1,1.6753728,0.023,,89.56,2.38,1.48,0.31,06h17m46.75s,94.444794,-35d42m23.0s,-35.706394,1010,5600,1.02,0.93,5/31/18,Paranal Observatory
NGTS-4,NGTS-4 b,Transit,1,1.3373508,0.019,0,82.5,0.06481,0.284,3.45,05h58m23.76s,89.599,-30d48m42.49s,-30.811803,282.6,5143,0.75,0.84,5/16/19,Paranal Observatory
NGTS-5,NGTS-5 b,Transit,1,3.3569866,0.0382,0,86.6,0.229,1.136,,14h44m13.9842s,221.058267,+05d36m19.347s,5.605374,309.5,4987,0.66,0.74,5/16/19,Paranal Observatory
NN Ser,NN Ser c,Eclipse Timing Variations,2,5573.55,5.35,0.08,,7.33,,,15h52m56.13s,238.233879,+12d54m44.7s,12.912411,500,57000,0.54,,5/14/14,Multiple Observatories
NN Ser,NN Ser d,Eclipse Timing Variations,2,2883.5,3.43,0.19,,2.3,,,15h52m56.13s,238.233879,+12d54m44.7s,12.912411,500,57000,0.54,,5/14/14,Multiple Observatories
NSVS 14256825,NSVS 14256825 b,Eclipse Timing Variations,1,3225,3.12,0.12,,14.15,,,20h20m00.46s,305.001917,+04d37m56.52s,4.632367,838.31,40000,0.42,0.19,6/13/19,Multiple Observatories
NY Vir,NY Vir b,Eclipse Timing Variations,1,2985.7,,0.44,,2.78,,,13h38m48.15s,204.700622,-02d01m49.1s,-2.030315,551.99,,,,9/25/14,Multiple Observatories
OGLE-2003-BLG-235L,OGLE-2003-BLG-235L b,Microlensing,1,,4.3,,,2.6,,,18h05m16.35s,271.318125,-28d53m42.0s,-28.895,5800,,0.63,,2/25/16,OGLE
OGLE-2005-BLG-071L,OGLE-2005-BLG-071L b,Microlensing,1,,3.6,,,3.8,,,17h50m09.77s,267.540708,-34d40m23.5s,-34.673194,3200,,0.46,,10/29/14,OGLE
OGLE-2005-BLG-169L,OGLE-2005-BLG-169L b,Microlensing,1,,3.5,,,0.04436,,,18h06m05.32s,271.522167,-30d43m57.5s,-30.732639,4100,,0.69,,11/19/15,OGLE
OGLE-2005-BLG-390L,OGLE-2005-BLG-390L b,Microlensing,1,3285,2.6,,,0.017,,,17h54m19.19s,268.579958,-30d22m38.3s,-30.377306,6600,,0.22,,10/29/14,OGLE
OGLE-2006-BLG-109L,OGLE-2006-BLG-109L b,Microlensing,2,1788.5,2.3,,,0.73,,,17h52m34.51s,268.143792,-30d05m16.0s,-30.087778,1510,,0.51,,11/5/14,OGLE
OGLE-2006-BLG-109L,OGLE-2006-BLG-109L c,Microlensing,2,4927.5,4.5,0.15,64,0.27,,,17h52m34.51s,268.143792,-30d05m16.0s,-30.087778,1510,,0.51,,11/5/14,OGLE
OGLE-2007-BLG-349L A,OGLE-2007-BLG-349L AB c,Microlensing,1,2557,2.59,,,0.25171,,,18h05m24.43s,271.351807,-26d25m19.0s,-26.421944,2760,,0.41,,9/29/16,OGLE
OGLE-2007-BLG-368L,OGLE-2007-BLG-368L b,Microlensing,1,,3.3,,,0.06,,,17h56m25.96s,269.108167,-32d14m14.7s,-32.237417,5900,,0.64,,11/5/14,OGLE
OGLE-2008-BLG-092L,OGLE-2008-BLG-092L b,Microlensing,1,,18,,,0.18,,,17h47m29.42s,266.872583,-34d43m35.6s,-34.726556,8100,,0.71,,10/29/14,OGLE
