pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,rowupdate,pl_facility
Kepler-148,Kepler-148 b,Transit,3,1.729366,0.028,,,,0.161,,19h19m08.69s,289.786216,+46d51m31.6s,46.858788,809.42,5272,,0.85,5/14/14,Kepler
Kepler-148,Kepler-148 c,Transit,3,4.180043,0.05,,,,0.321,,19h19m08.69s,289.786216,+46d51m31.6s,46.858788,809.42,5272,,0.85,5/14/14,Kepler
Kepler-148,Kepler-148 d,Transit,3,51.84688575,,,,,0.774,,19h19m08.69s,289.786216,+46d51m31.6s,46.858788,809.42,5272,,0.85,5/10/16,Kepler
Kepler-1480,Kepler-1480 b,Transit,1,22.12679948,,,,,0.149,,19h27m59.95s,291.999771,+49d18m06.5s,49.301811,540,5156,0.85,0.81,5/10/16,Kepler
Kepler-1481,Kepler-1481 b,Transit,1,5.94220998,,,,,0.11,,19h17m45.35s,289.438971,+49d43m52.4s,49.73122,493,4908,0.8,0.75,5/10/16,Kepler
Kepler-1482,Kepler-1482 b,Transit,1,12.25383217,,,,,0.09,,19h01m15.31s,285.313805,+48d43m30.9s,48.725254,442,5381,0.88,0.84,5/10/16,Kepler
Kepler-1483,Kepler-1483 b,Transit,1,9.5085156,,,,,0.136,,19h41m38.35s,295.409776,+42d09m03.0s,42.150831,1327,6337,1.25,1.4,5/10/16,Kepler
Kepler-1484,Kepler-1484 b,Transit,1,30.4549136,,,,,0.188,,19h30m44.23s,292.684285,+38d07m34.6s,38.126286,1095,5730,0.94,0.92,5/10/16,Kepler
Kepler-1485,Kepler-1485 b,Transit,1,19.9157725,,,,,0.131,,19h52m22.90s,298.095423,+44d44m13.4s,44.737057,550,6087,1.11,1.12,5/10/16,Kepler
Kepler-1486,Kepler-1486 b,Transit,1,54.6495759,,,,,0.207,,19h22m21.69s,290.590382,+45d26m23.0s,45.439713,1465,5965,1.08,1.12,5/10/16,Kepler
Kepler-1487,Kepler-1487 b,Transit,1,7.31946363,,,,,0.19,,19h41m59.55s,295.498108,+38d38m40.2s,38.644501,1094,6541,1.38,1.63,5/10/16,Kepler
Kepler-1488,Kepler-1488 b,Transit,1,39.8189932,,,,,0.166,,19h06m35.14s,286.646417,+49d56m16.0s,49.937778,618,5820,1.05,1.31,5/10/16,Kepler
Kepler-1489,Kepler-1489 b,Transit,1,82.294751,,,,,0.158,,18h45m11.00s,281.295831,+44d27m55.5s,44.465405,870,5655,0.93,0.9,5/10/16,Kepler
Kepler-149,Kepler-149 b,Transit,3,29.198943,0.184,,,,0.376,,19h03m24.88s,285.853667,+38d23m02.8s,38.384119,580.57,5381,,0.95,5/14/14,Kepler
Kepler-149,Kepler-149 c,Transit,3,55.328328,0.281,,,,0.144,,19h03m24.88s,285.853667,+38d23m02.8s,38.384119,580.57,5381,,0.95,5/14/14,Kepler
Kepler-149,Kepler-149 d,Transit,3,160.018032,0.571,,,,0.353,,19h03m24.88s,285.853667,+38d23m02.8s,38.384119,580.57,5381,,0.95,5/14/14,Kepler
Kepler-1490,Kepler-1490 b,Transit,1,92.4362973,,,,,0.271,,19h42m46.46s,295.693573,+42d36m34.2s,42.609512,968,5515,0.9,0.87,5/10/16,Kepler
Kepler-1491,Kepler-1491 b,Transit,1,16.5861762,,,,,0.135,,19h34m31.14s,293.629756,+45d44m26.3s,45.740651,1312,5728,1,0.99,5/10/16,Kepler
Kepler-1492,Kepler-1492 b,Transit,1,16.75255007,,,,,0.133,,19h14m23.30s,288.597097,+41d02m11.1s,41.03642,371,4712,0.77,0.72,5/10/16,Kepler
Kepler-1493,Kepler-1493 b,Transit,1,15.0217983,,,,,0.126,,19h14m11.80s,288.549148,+38d33m54.8s,38.565232,572,5863,1.06,1.29,5/10/16,Kepler
Kepler-1494,Kepler-1494 b,Transit,1,91.080482,,,,,0.274,,18h50m37.78s,282.657401,+43d09m45.1s,43.162518,1059,5659,0.96,0.94,5/10/16,Kepler
Kepler-1495,Kepler-1495 b,Transit,1,85.273256,,,,,0.262,,19h04m31.38s,286.130757,+38d46m46.7s,38.779631,1307,5831,1.03,1.04,5/10/16,Kepler
Kepler-1496,Kepler-1496 b,Transit,1,64.6588017,,,,,0.198,,19h35m53.74s,293.973936,+45d21m02.5s,45.350704,1293,6182,1.18,1.27,5/10/16,Kepler
Kepler-1497,Kepler-1497 b,Transit,1,8.74199772,,,,,0.148,,19h44m47.07s,296.19614,+45d38m03.6s,45.634331,1122,5675,0.96,0.95,5/10/16,Kepler
Kepler-1498,Kepler-1498 b,Transit,1,48.051405,,,,,0.119,,18h59m06.75s,284.77811,+44d55m00.4s,44.916782,740,5256,0.86,0.81,5/10/16,Kepler
Kepler-1499,Kepler-1499 b,Transit,1,44.2008,,,,,0.106,,18h55m56.72s,283.986337,+41d39m01.5s,41.650406,310,5097,0.82,0.78,5/10/16,Kepler
Kepler-15,Kepler-15 b,Transit,1,4.942782,0.05714,0.06,87.44,0.66,0.96,0.93,19h44m48.14s,296.200595,+49d08m24.4s,49.140125,755.38,5515,1.02,0.99,5/14/14,Kepler
Kepler-150,Kepler-150 b,Transit,5,3.428054,0.044,,,,0.112,,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,914.4,5560,,0.94,5/14/14,Kepler
Kepler-150,Kepler-150 c,Transit,5,7.381998,0.073,,,,0.329,,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,914.4,5560,,0.94,5/14/14,Kepler
Kepler-150,Kepler-150 d,Transit,5,12.56093,0.104,,,,0.249,,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,914.4,5560,,0.94,5/14/14,Kepler
Kepler-150,Kepler-150 e,Transit,5,30.826557,0.189,,,,0.278,,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,914.4,5560,,0.94,5/14/14,Kepler
Kepler-150,Kepler-150 f,Transit,5,637.2093,1.24,,90,,0.325,,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,914.4,5560,,0.94,4/13/17,Kepler
Kepler-1500,Kepler-1500 b,Transit,1,15.0330105,,,,,0.107,,19h15m32.00s,288.883334,+39d44m40.5s,39.744572,904,5845,1,1,5/10/16,Kepler
Kepler-1501,Kepler-1501 b,Transit,1,14.5564533,,,,,0.139,,19h19m40.44s,289.918519,+42d00m05.2s,42.001431,888,6229,1.2,1.3,5/10/16,Kepler
Kepler-1502,Kepler-1502 b,Transit,1,41.7083629,,,,,0.284,,19h44m25.90s,296.107919,+39d19m11.7s,39.319913,1540,6666,1.44,1.72,5/10/16,Kepler
Kepler-1503,Kepler-1503 b,Transit,1,96.16987,,,,,0.203,,19h34m54.52s,293.727175,+42d48m24.3s,42.806759,850,5069,0.77,0.74,5/10/16,Kepler
Kepler-1504,Kepler-1504 b,Transit,1,82.304003,,,,,0.19,,19h18m50.88s,289.711993,+50d07m41.6s,50.128212,1029,5393,0.85,0.81,5/10/16,Kepler
Kepler-1505,Kepler-1505 b,Transit,1,30.8609366,,,,,0.083,,19h28m00.49s,292.002052,+41d47m13.1s,41.786961,359,5686,0.93,0.86,5/10/16,Kepler
Kepler-1506,Kepler-1506 b,Transit,1,14.0329154,,,,,0.118,,19h20m35.97s,290.149884,+41d27m52.5s,41.464595,1318,5676,0.95,0.93,5/10/16,Kepler
Kepler-1507,Kepler-1507 b,Transit,1,16.0506213,,,,,0.075,,19h14m14.77s,288.561525,+46d32m09.8s,46.536053,342,5410,0.89,0.85,5/10/16,Kepler
Kepler-1508,Kepler-1508 b,Transit,1,20.7056504,,,,,0.119,,19h52m28.53s,298.118885,+40d22m30.2s,40.375047,892,6158,1.14,1.22,5/10/16,Kepler
Kepler-1509,Kepler-1509 b,Transit,1,25.4338197,,,,,0.165,,18h55m11.48s,283.797813,+46d55m51.6s,46.931004,1277,5780,1,0.99,5/10/16,Kepler
Kepler-151,Kepler-151 b,Transit,2,15.228958,0.116,,,,0.273,,19h28m39.07s,292.162778,+41d01m23.6s,41.023235,662.19,5460,,0.83,5/14/14,Kepler
Kepler-151,Kepler-151 c,Transit,2,24.674612,0.16,,,,0.186,,19h28m39.07s,292.162778,+41d01m23.6s,41.023235,662.19,5460,,0.83,5/14/14,Kepler
Kepler-1510,Kepler-1510 b,Transit,1,84.703921,,,,,0.3,,19h55m50.19s,298.959138,+48d15m28.2s,48.257824,1615,6200,1.19,1.28,5/10/16,Kepler
Kepler-1511,Kepler-1511 b,Transit,1,23.2382792,,,,,0.15,,19h13m41.09s,288.421218,+43d10m47.3s,43.179798,897,6064,1.17,1.29,5/10/16,Kepler
Kepler-1512,Kepler-1512 b,Transit,1,20.35972599,,,,,0.105,,19h17m05.88s,289.274503,+44d28m12.9s,44.470253,162,4372,0.73,0.67,5/10/16,Kepler
Kepler-1513,Kepler-1513 b,Transit,1,160.8846509,,,,,0.755,,19h19m09.99s,289.791634,+39d17m07.0s,39.285277,384,5617,0.99,0.97,5/10/16,Kepler
Kepler-1514,Kepler-1514 b,Transit,1,217.8317626,,,,,1.055,,19h30m30.59s,292.627466,+37d51m36.5s,37.860133,379,6251,1.21,1.22,5/10/16,Kepler
Kepler-1515,Kepler-1515 b,Transit,1,214.3114164,,,,,0.852,,19h23m53.74s,290.97393,+48d10m41.4s,48.178162,504,6511,1.3,1.41,5/10/16,Kepler
Kepler-1516,Kepler-1516 b,Transit,1,7.25931979,,,,,0.156,,19h25m58.70s,291.494603,+44d31m24.6s,44.523502,872,5904,1.04,1.07,5/10/16,Kepler
Kepler-1517,Kepler-1517 b,Transit,1,5.54608367,,,,,0.871,,19h11m13.73s,287.80722,+43d11m19.6s,43.188778,869,7010,1.58,1.95,5/10/16,Kepler
Kepler-1518,Kepler-1518 b,Transit,1,5.11177904,,,,,0.272,,20h01m19.77s,300.332385,+44d59m10.1s,44.986137,1140,6846,1.54,1.88,5/10/16,Kepler
Kepler-1519,Kepler-1519 b,Transit,1,240.7989397,,,,,0.63,,19h46m40.30s,296.667903,+49d27m42.7s,49.461861,858,5644,0.94,0.91,5/10/16,Kepler
Kepler-152,Kepler-152 b,Transit,2,18.207973,0.124,,,,0.249,,19h07m27.71s,286.865479,+41d59m20.7s,41.989086,446.77,5088,,0.72,5/14/14,Kepler
Kepler-152,Kepler-152 c,Transit,2,88.255055,0.356,,,,0.213,,19h07m27.71s,286.865479,+41d59m20.7s,41.989086,446.77,5088,,0.72,5/14/14,Kepler
Kepler-1520,Kepler-1520 b,Transit,1,0.65355357,,,,,0.515,,19h23m51.89s,290.966214,+51d30m17.0s,51.504723,636,4677,0.76,0.71,5/10/16,Kepler
Kepler-1521,Kepler-1521 b,Transit,1,47.14840805,,,,,0.223,,19h30m45.67s,292.690301,+37d50m06.0s,37.835001,227,5042,0.81,0.76,5/10/16,Kepler
Kepler-1522,Kepler-1522 b,Transit,1,1.84788917,,,,,0.154,,19h19m22.37s,289.843226,+52d04m12.6s,52.07016,690,5706,0.96,0.93,5/10/16,Kepler
Kepler-1523,Kepler-1523 b,Transit,1,0.93875077,,,,,0.141,,19h44m12.97s,296.054062,+45d49m37.4s,45.827049,918,5708,0.97,0.96,5/10/16,Kepler
Kepler-1524,Kepler-1524 b,Transit,1,70.9674603,,,,,0.316,,19h35m32.50s,293.885398,+39d31m11.3s,39.519818,506,6179,1.17,1.25,5/10/16,Kepler
Kepler-1525,Kepler-1525 b,Transit,1,2.41660118,,,,,0.081,,19h22m14.28s,290.559517,+49d56m34.9s,49.943016,396,5748,1.07,1.04,5/10/16,Kepler
Kepler-1526,Kepler-1526 b,Transit,1,3.908632,,,,,0.217,,19h00m28.73s,285.119706,+38d51m59.1s,38.866428,576,4601,0.73,0.69,5/10/16,Kepler
Kepler-1527,Kepler-1527 b,Transit,1,160.129918,,,,,0.426,,19h49m39.46s,297.414414,+46d03m38.9s,46.060818,1560,6224,1.21,1.32,5/10/16,Kepler
Kepler-1528,Kepler-1528 b,Transit,1,1.79111021,,,,,0.13,,19h09m36.71s,287.402943,+46d34m26.3s,46.573986,916,5857,1.03,1.03,5/10/16,Kepler
Kepler-1529,Kepler-1529 b,Transit,1,5.33905686,,,,,0.187,,19h19m28.97s,289.870716,+41d02m26.6s,41.040728,683,5048,0.81,0.77,5/10/16,Kepler
Kepler-153,Kepler-153 b,Transit,2,18.870227,0.129,,,,0.261,,18h49m50.53s,282.460522,+48d15m25.6s,48.257118,465.53,5404,,0.89,5/14/14,Kepler
Kepler-153,Kepler-153 c,Transit,2,46.90232,0.237,,,,0.226,,18h49m50.53s,282.460522,+48d15m25.6s,48.257118,465.53,5404,,0.89,5/14/14,Kepler
Kepler-1530,Kepler-1530 b,Transit,2,2.5904434,,,,,0.146,,19h12m39.00s,288.162502,+48d09m54.6s,48.165154,552,5477,0.92,0.88,5/10/16,Kepler
Kepler-1530,Kepler-1530 c,Transit,2,5.3227406,,,,,0.147,,19h12m39.00s,288.162502,+48d09m54.6s,48.165154,552,5477,0.92,0.88,5/10/16,Kepler
Kepler-1531,Kepler-1531 b,Transit,1,1.13854338,,,,,0.099,,19h00m35.18s,285.146577,+39d22m14.9s,39.370798,670,6260,1.16,1.27,5/10/16,Kepler
Kepler-1532,Kepler-1532 b,Transit,1,1.09366356,,,,,0.12,,19h47m36.68s,296.902813,+41d11m53.5s,41.198191,824,5559,0.91,0.88,5/10/16,Kepler
Kepler-1533,Kepler-1533 b,Transit,1,308.5471,,,,,0.309,,19h43m54.13s,295.975556,+44d42m48.4s,44.713445,852,6431,1.31,1.51,5/10/16,Kepler
Kepler-1534,Kepler-1534 b,Transit,1,5.71668872,,,,,0.169,,19h29m34.89s,292.395391,+43d52m08.7s,43.869072,1107,5442,0.9,0.86,5/10/16,Kepler
Kepler-1535,Kepler-1535 b,Transit,1,138.9442,,,,,0.227,,19h06m27.29s,286.613698,+38d53m31.1s,38.891969,879,6021,1.08,1.11,5/10/16,Kepler
Kepler-1536,Kepler-1536 b,Transit,1,364.758031,,,,,0.28,,19h26m20.44s,291.585187,+45d42m56.8s,45.71579,401,4434,0.71,0.67,5/10/16,Kepler
Kepler-1537,Kepler-1537 b,Transit,1,1.4444538,,,,,0.105,,19h37m32.50s,294.385398,+43d49m31.7s,43.82547,503,5079,0.81,0.77,5/10/16,Kepler
Kepler-1538,Kepler-1538 b,Transit,1,175.138819,,,,,0.252,,18h53m22.97s,283.345714,+45d16m28.0s,45.274456,1291,5837,1.03,1.03,5/10/16,Kepler
Kepler-1539,Kepler-1539 b,Transit,1,133.3036741,,,,,0.241,,18h56m52.66s,284.219433,+44d16m06.8s,44.268543,788,5176,0.84,0.8,5/10/16,Kepler
Kepler-154,Kepler-154 b,Transit,5,33.040532,0.198,,,,0.202,,19h19m07.33s,289.780522,+49d53m47.5s,49.89653,939.89,5690,,1,5/14/14,Kepler
Kepler-154,Kepler-154 c,Transit,5,62.303276,0.303,,,,0.263,,19h19m07.33s,289.780522,+49d53m47.5s,49.89653,939.89,5690,,1,5/14/14,Kepler
Kepler-154,Kepler-154 d,Transit,5,20.54981883,,,,,0.343,,19h19m07.33s,289.780522,+49d53m47.5s,49.89653,939.89,5690,,1,5/10/16,Kepler
Kepler-154,Kepler-154 e,Transit,5,3.93276465,,,,,0.134,,19h19m07.33s,289.780522,+49d53m47.5s,49.89653,939.89,5690,,1,5/10/16,Kepler
Kepler-154,Kepler-154 f,Transit,5,9.91935684,,,,,0.134,,19h19m07.33s,289.780522,+49d53m47.5s,49.89653,939.89,5690,,1,5/10/16,Kepler
Kepler-1540,Kepler-1540 b,Transit,1,125.4131177,,,,,0.222,,18h53m22.68s,283.344497,+41d12m06.3s,41.201741,262,4540,0.74,0.69,5/10/16,Kepler
Kepler-1541,Kepler-1541 b,Transit,1,8.40691199,,,,,0.103,,18h55m08.88s,283.787004,+48d01m46.4s,48.029564,414,5282,0.86,0.81,5/10/16,Kepler
Kepler-1542,Kepler-1542 b,Transit,4,3.95116882,,,,,0.068,,19h02m54.84s,285.728495,+42d39m16.3s,42.65453,336,5564,0.94,0.99,5/10/16,Kepler
Kepler-1542,Kepler-1542 c,Transit,4,2.89223021,,,,,0.058,,19h02m54.84s,285.728495,+42d39m16.3s,42.65453,336,5564,0.94,0.99,5/10/16,Kepler
Kepler-1542,Kepler-1542 d,Transit,4,5.99273738,,,,,0.078,,19h02m54.84s,285.728495,+42d39m16.3s,42.65453,336,5564,0.94,0.99,5/10/16,Kepler
Kepler-1542,Kepler-1542 e,Transit,4,5.10115756,,,,,0.068,,19h02m54.84s,285.728495,+42d39m16.3s,42.65453,336,5564,0.94,0.99,5/10/16,Kepler
Kepler-1543,Kepler-1543 b,Transit,1,6.96710269,,,,,0.242,,19h48m29.83s,297.124312,+47d02m13.3s,47.037025,1114,6561,1.39,1.65,5/10/16,Kepler
Kepler-1544,Kepler-1544 b,Transit,1,168.811174,,,,,0.159,,19h49m08.40s,297.28499,+49d12m44.8s,49.212456,349,4886,0.81,0.74,5/10/16,Kepler
Kepler-1545,Kepler-1545 b,Transit,1,163.692349,,,,,0.241,,19h55m35.70s,298.898763,+47d27m47.1s,47.463093,688,5201,0.84,0.8,5/10/16,Kepler
Kepler-1546,Kepler-1546 b,Transit,1,19.5974971,,,,,0.279,,19h50m20.15s,297.583942,+41d32m28.4s,41.541227,994,5623,0.95,0.93,5/10/16,Kepler
Kepler-1547,Kepler-1547 b,Transit,1,0.69297968,,,,,0.08,,18h55m03.38s,283.764074,+42d13m19.8s,42.222172,665,6078,1.12,1.18,5/10/16,Kepler
Kepler-1548,Kepler-1548 b,Transit,1,124.828679,,,,,0.236,,19h09m53.10s,287.471233,+46d04m50.4s,46.080666,1150,5706,0.99,0.97,5/10/16,Kepler
Kepler-1549,Kepler-1549 b,Transit,1,214.886545,,,,,0.229,,19h04m12.58s,286.052426,+39d05m45.8s,39.096053,792,5324,0.88,0.84,5/10/16,Kepler
Kepler-155,Kepler-155 b,Transit,2,5.931194,0.056,,,,0.186,,19h13m59.00s,288.495833,+51d04m55.0s,51.081947,295.99,4508,,0.62,5/14/14,Kepler
Kepler-155,Kepler-155 c,Transit,2,52.661793,0.242,,,,0.2,,19h13m59.00s,288.495833,+51d04m55.0s,51.081947,295.99,4508,,0.62,5/14/14,Kepler
Kepler-1550,Kepler-1550 b,Transit,1,225.582809,,,,,0.269,,19h11m03.49s,287.76456,+38d17m40.9s,38.294704,1202,5991,1.07,1.11,5/10/16,Kepler
Kepler-1551,Kepler-1551 b,Transit,1,24.4973698,,,,,0.237,,19h43m08.52s,295.785514,+39d54m28.5s,39.907921,1560,6136,1.14,1.22,5/10/16,Kepler
Kepler-1552,Kepler-1552 b,Transit,1,184.771853,,,,,0.22,,19h26m42.44s,291.676831,+38d52m29.7s,38.874915,618,5202,0.85,0.78,5/10/16,Kepler
Kepler-1553,Kepler-1553 b,Transit,1,4.24261881,,,,,0.103,,19h27m40.60s,291.919159,+39d01m20.2s,39.022273,719,5288,0.85,0.81,5/10/16,Kepler
Kepler-1554,Kepler-1554 b,Transit,1,198.088774,,,,,0.259,,19h06m18.28s,286.576164,+41d44m29.3s,41.741473,982,5297,0.84,0.81,5/10/16,Kepler
Kepler-1555,Kepler-1555 b,Transit,1,8.10501635,,,,,0.144,,19h10m32.51s,287.635473,+45d42m57.8s,45.716061,1382,5866,1.04,1.06,5/10/16,Kepler
Kepler-1556,Kepler-1556 b,Transit,1,8.82713457,,,,,0.175,,19h13m35.28s,288.397002,+40d12m47.5s,40.2132,1060,5608,0.97,0.95,5/10/16,Kepler
Kepler-1557,Kepler-1557 b,Transit,1,3.74032496,,,,,0.136,,19h35m31.54s,293.881413,+46d50m20.0s,46.838879,1532,6099,1.11,1.17,5/10/16,Kepler
Kepler-1558,Kepler-1558 b,Transit,1,3.50470358,,,,,0.061,,19h07m16.65s,286.819367,+46d54m42.1s,46.911694,343,5101,0.83,0.79,5/10/16,Kepler
Kepler-1559,Kepler-1559 b,Transit,1,0.97191543,,,,,0.064,,19h29m08.78s,292.28658,+42d04m20.8s,42.072456,580,5316,0.86,0.82,5/10/16,Kepler
Kepler-156,Kepler-156 b,Transit,2,4.973456,0.054,,,,0.205,,19h21m11.16s,290.296515,+37d44m58.2s,37.74949,449.22,5094,,0.81,5/14/14,Kepler
Kepler-156,Kepler-156 c,Transit,2,15.906801,0.117,,,,0.227,,19h21m11.16s,290.296515,+37d44m58.2s,37.74949,449.22,5094,,0.81,5/14/14,Kepler
Kepler-1560,Kepler-1560 b,Transit,1,3.03195744,,,,,0.079,,19h31m08.31s,292.784608,+43d12m57.5s,43.215984,529,5815,1.02,1.02,5/10/16,Kepler
Kepler-1561,Kepler-1561 b,Transit,1,1.00520701,,,,,0.097,,19h47m41.66s,296.923604,+43d33m59.3s,43.566467,993,5957,1.07,1.11,5/10/16,Kepler
Kepler-1562,Kepler-1562 b,Transit,1,64.2737752,,,,,0.317,,19h37m49.37s,294.455709,+46d44m37.0s,46.743614,1315,5760,1.02,1.05,5/10/16,Kepler
Kepler-1563,Kepler-1563 b,Transit,1,3.43276598,,,,,0.067,,19h14m17.66s,288.573588,+51d28m21.9s,51.472755,547,5765,1,0.99,5/10/16,Kepler
Kepler-1564,Kepler-1564 b,Transit,1,18.0540381,,,,,0.131,,19h22m20.67s,290.586124,+46d38m33.7s,46.642689,872,5528,0.93,0.9,5/10/16,Kepler
Kepler-1565,Kepler-1565 b,Transit,1,1.53818844,,,,,0.106,,19h51m48.71s,297.952967,+40d48m24.5s,40.806808,657,4940,0.76,0.73,5/10/16,Kepler
Kepler-1566,Kepler-1566 b,Transit,1,0.53991524,,,,,0.07,,18h54m21.03s,283.587614,+40d34m29.7s,40.574927,511,5254,0.84,0.81,5/10/16,Kepler
Kepler-1567,Kepler-1567 b,Transit,1,153.979578,,,,,0.244,,19h06m46.85s,286.6952,+40d17m30.5s,40.291819,1226,5655,0.95,0.93,5/10/16,Kepler
Kepler-1568,Kepler-1568 b,Transit,1,20.925392,,,,,0.116,,19h16m43.84s,289.182664,+47d52m24.2s,47.873383,883,5956,1.09,1.19,5/10/16,Kepler
Kepler-1569,Kepler-1569 b,Transit,1,5.79180156,,,,,0.15,,19h28m49.13s,292.204706,+37d13m16.4s,37.22122,1050,6319,1.25,1.4,5/10/16,Kepler
Kepler-157,Kepler-157 b,Transit,3,1.732342,0.028,,,,0.118,,19h24m23.33s,291.097225,+38d52m32.2s,38.875609,791.27,5774,,1.04,5/14/14,Kepler
Kepler-157,Kepler-157 c,Transit,3,13.5405,0.11,,,,0.2,,19h24m23.33s,291.097225,+38d52m32.2s,38.875609,791.27,5774,,1.04,5/14/14,Kepler
Kepler-157,Kepler-157 d,Transit,3,7.02573474,,,,,0.13,,19h24m23.33s,291.097225,+38d52m32.2s,38.875609,791.27,5774,,1.04,5/10/16,Kepler
Kepler-1570,Kepler-1570 b,Transit,1,26.548955,,,,,0.095,,19h59m26.84s,299.861833,+45d49m38.5s,45.827354,463,5550,0.92,0.89,5/10/16,Kepler
Kepler-1571,Kepler-1571 b,Transit,1,3.38555488,,,,,0.136,,20h03m44.50s,300.935406,+45d35m47.6s,45.596546,802,6297,1.23,1.39,5/10/16,Kepler
Kepler-1572,Kepler-1572 b,Transit,1,5.49548621,,,,,0.084,,18h47m35.35s,281.897275,+46d43m21.5s,46.722633,600,5618,0.97,0.95,5/10/16,Kepler
Kepler-1573,Kepler-1573 b,Transit,1,2.6157554,,,,,0.107,,19h31m57.20s,292.988348,+49d29m05.9s,49.48497,1180,5808,1.01,1,5/10/16,Kepler
Kepler-1574,Kepler-1574 b,Transit,1,6.9424334,,,,,0.115,,19h28m38.08s,292.158664,+49d38m15.9s,49.63776,1275,5892,1.06,1.08,5/10/16,Kepler
Kepler-1575,Kepler-1575 b,Transit,1,2.55314213,,,,,0.117,,19h34m58.38s,293.74325,+45d45m41.7s,45.761597,1170,5667,0.95,0.92,5/10/16,Kepler
Kepler-1576,Kepler-1576 b,Transit,1,6.98471973,,,,,0.093,,19h16m17.75s,289.073975,+40d21m57.7s,40.366015,539,5876,1.05,1.06,5/10/16,Kepler
Kepler-1577,Kepler-1577 b,Transit,1,6.30560247,,,,,0.101,,19h31m49.27s,292.955275,+47d34m23.2s,47.573105,543,4862,0.78,0.74,5/10/16,Kepler
Kepler-1578,Kepler-1578 b,Transit,1,1.45088691,,,,,0.093,,19h13m12.48s,288.302,+47d46m32.0s,47.775555,1016,5545,0.9,0.86,5/10/16,Kepler
Kepler-1579,Kepler-1579 b,Transit,1,0.84990789,,,,,0.075,,19h33m09.12s,293.288009,+43d30m54.0s,43.514988,466,4584,0.75,0.7,5/10/16,Kepler
Kepler-158,Kepler-158 b,Transit,2,16.709184,0.111,,,,0.189,,18h56m07.74s,284.032244,+39d46m52.9s,39.781348,318.06,4623,,0.62,5/14/14,Kepler
Kepler-158,Kepler-158 c,Transit,2,28.551383,0.158,,,,0.17,,18h56m07.74s,284.032244,+39d46m52.9s,39.781348,318.06,4623,,0.62,5/14/14,Kepler
Kepler-1580,Kepler-1580 b,Transit,1,56.6449279,,,,,0.188,,19h03m52.49s,285.968722,+41d21m48.8s,41.363559,872,6228,1.47,2.15,5/10/16,Kepler
Kepler-1581,Kepler-1581 b,Transit,1,6.28385491,,,,,0.071,,19h09m29.10s,287.371261,+39d36m12.9s,39.603581,443,6022,1.12,1.23,5/10/16,Kepler
Kepler-1582,Kepler-1582 b,Transit,1,4.83817712,,,,,0.133,,19h17m30.40s,289.37665,+41d09m31.0s,41.158613,112,3208,0.28,0.3,5/10/16,Kepler
Kepler-1583,Kepler-1583 b,Transit,1,9.32807355,,,,,0.054,,19h05m32.86s,286.386934,+47d00m59.9s,47.016628,357,5645,0.94,0.91,5/10/16,Kepler
Kepler-1584,Kepler-1584 b,Transit,1,13.3997099,,,,,0.144,,19h11m03.04s,287.762683,+43d16m27.9s,43.274429,1325,6069,1.1,1.13,5/10/16,Kepler
Kepler-1585,Kepler-1585 b,Transit,1,3.5827463,,,,,0.16,,19h44m38.16s,296.159005,+44d33m47.2s,44.563114,1269,5538,0.94,0.91,5/10/16,Kepler
Kepler-1586,Kepler-1586 b,Transit,1,15.6049212,,,,,0.136,,19h52m48.63s,298.202609,+44d55m33.0s,44.925827,864,6681,1.45,1.75,5/10/16,Kepler
Kepler-1587,Kepler-1587 b,Transit,1,9.4060467,,,,,0.119,,19h30m42.65s,292.677726,+49d39m50.1s,49.66391,907,5933,1.08,1.22,5/10/16,Kepler
Kepler-1588,Kepler-1588 b,Transit,1,7.84931739,,,,,0.068,,19h12m55.85s,288.232715,+48d00m07.8s,48.002178,658,5817,0.96,0.99,5/10/16,Kepler
Kepler-1589,Kepler-1589 b,Transit,1,0.99166527,,,,,0.097,,19h37m46.03s,294.441792,+40d34m18.1s,40.571686,1418,6166,1.18,1.25,5/10/16,Kepler
Kepler-159,Kepler-159 b,Transit,2,10.139623,0.082,,,,0.212,,19h48m16.84s,297.07017,+40d52m07.6s,40.868784,377.79,4625,,0.66,5/14/14,Kepler
Kepler-159,Kepler-159 c,Transit,2,43.595792,0.218,,,,0.304,,19h48m16.84s,297.07017,+40d52m07.6s,40.868784,377.79,4625,,0.66,5/14/14,Kepler
Kepler-1590,Kepler-1590 b,Transit,1,7.61760804,,,,,0.102,,19h25m37.87s,291.407812,+48d01m04.4s,48.017891,900,6053,1.11,1.16,5/10/16,Kepler
Kepler-1591,Kepler-1591 b,Transit,1,8.18504949,,,,,0.113,,19h46m04.00s,296.516659,+44d36m31.0s,44.608608,1090,6082,1.1,1.16,5/10/16,Kepler
Kepler-1592,Kepler-1592 b,Transit,1,3.05710069,,,,,0.137,,19h35m24.16s,293.850646,+38d23m51.9s,38.397749,1349,6213,1.18,1.28,5/10/16,Kepler
